"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Pomfret School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2013-2014","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2014-2015","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2015-2016","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2015-2016","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2015-2016","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2015-2016","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2015-2016","Non-High Needs","Other Rate","Percent","-6666"
"Portland School District","900761800","2010-2011","High Needs","Total Cohort Count","Number","19"
"Portland School District","900761800","2010-2011","Non-High Needs","Total Cohort Count","Number","78"
"Portland School District","900761800","2010-2011","High Needs","Four Year Graduation Count","Number","12"
"Portland School District","900761800","2010-2011","Non-High Needs","Four Year Graduation Count","Number","69"
"Portland School District","900761800","2010-2011","High Needs","Four Year Graduation Rate","Percent","63.2"
"Portland School District","900761800","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","88.5"
"Portland School District","900761800","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2010-2011","High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2010-2011","High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2011-2012","High Needs","Total Cohort Count","Number","28"
"Portland School District","900761800","2011-2012","Non-High Needs","Total Cohort Count","Number","64"
"Portland School District","900761800","2011-2012","High Needs","Four Year Graduation Count","Number","21"
"Portland School District","900761800","2011-2012","Non-High Needs","Four Year Graduation Count","Number","63"
"Portland School District","900761800","2011-2012","High Needs","Four Year Graduation Rate","Percent","75.0"
"Portland School District","900761800","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","98.4"
"Portland School District","900761800","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2011-2012","High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2011-2012","High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2012-2013","High Needs","Total Cohort Count","Number","23"
"Portland School District","900761800","2012-2013","Non-High Needs","Total Cohort Count","Number","70"
"Portland School District","900761800","2012-2013","High Needs","Four Year Graduation Count","Number","14"
"Portland School District","900761800","2012-2013","Non-High Needs","Four Year Graduation Count","Number","66"
"Portland School District","900761800","2012-2013","High Needs","Four Year Graduation Rate","Percent","60.9"
"Portland School District","900761800","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","94.3"
"Portland School District","900761800","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2012-2013","High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2012-2013","High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2013-2014","High Needs","Total Cohort Count","Number","27"
"Portland School District","900761800","2013-2014","Non-High Needs","Total Cohort Count","Number","85"
"Portland School District","900761800","2013-2014","High Needs","Four Year Graduation Count","Number","19"
"Portland School District","900761800","2013-2014","Non-High Needs","Four Year Graduation Count","Number","85"
"Portland School District","900761800","2013-2014","High Needs","Four Year Graduation Rate","Percent","70.4"
"Portland School District","900761800","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Portland School District","900761800","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Portland School District","900761800","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Portland School District","900761800","2013-2014","High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Portland School District","900761800","2013-2014","High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Portland School District","900761800","2014-2015","High Needs","Total Cohort Count","Number","30"
"Portland School District","900761800","2014-2015","Non-High Needs","Total Cohort Count","Number","62"
"Portland School District","900761800","2014-2015","High Needs","Four Year Graduation Count","Number","22"
"Portland School District","900761800","2014-2015","Non-High Needs","Four Year Graduation Count","Number","61"
"Portland School District","900761800","2014-2015","High Needs","Four Year Graduation Rate","Percent","73.3"
"Portland School District","900761800","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","98.4"
